valueSource,historyProvider,setpointA,name1,label,priority,timestampSource,opcItemPath,dataType,documentation,name,tooltip,historyEnabled,tagType,opcServer,,
opc,Edge Historian,1,Alarm 1.07,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP7, AOV3, 38, 39], [1.7]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.7,Boolean,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP7, AOV3, 38, 39], [1.7]",Fault 1.07,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.08,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP7, AOV3, 38, 39], [1.8]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.8,Boolean,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO NEUTRALIZATION VIA R2R [PMP7, AOV3, 38, 39], [1.8]",Fault 1.08,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.09,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,4], [1.9]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.9,Boolean,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,4], [1.9]",Fault 1.09,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.10,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,4], [1.10]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.10,Boolean,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,4], [1.10]",Fault 1.10,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.11,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,5], [1.11]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.11,Boolean,"TR2 HIGH LEVEL [LV7], STILL ON WHEN PUMPING TO T3 [PMP7, AOV1,5], [1.11]",Fault 1.11,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.12,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO T4 [PMP7, AOV1,5], [1.12]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.12,Boolean,"TR2 LOW LEVEL [LV6], STILL ON WHEN PUMPING TO T4 [PMP7, AOV1,5], [1.12]",Fault 1.12,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.13,"PUMP 1 DID NOT EXTEND [PMP1], [1.13]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.13,Boolean,"PUMP 1 DID NOT EXTEND [PMP1], [1.13]",Fault 1.13,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.14,"PUMP 1 DID NOT RETRACT [PMP1], [1.14]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.14,Boolean,"PUMP 1 DID NOT RETRACT [PMP1], [1.14]",Fault 1.14,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.15,"PUMP 2 DID NOT EXTEND [PMP2], [1.15]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.15,Boolean,"PUMP 2 DID NOT EXTEND [PMP2], [1.15]",Fault 1.15,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.16,"PUMP 2 DID NOT RETRACT [PMP2], [1.16]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.16,Boolean,"PUMP 2 DID NOT RETRACT [PMP2], [1.16]",Fault 1.16,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.17,"PUMP 3 DID NOT EXTEND [PMP3], [1.17]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.17,Boolean,"PUMP 3 DID NOT EXTEND [PMP3], [1.17]",Fault 1.17,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.18,"PUMP 3 DID NOT RETRACT [PMP3], [1.18]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.18,Boolean,"PUMP 3 DID NOT RETRACT [PMP3], [1.18]",Fault 1.18,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.19,"PUMP 4 DID NOT EXTEND [PMP4], [1.19]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.19,Boolean,"PUMP 4 DID NOT EXTEND [PMP4], [1.19]",Fault 1.19,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.20,"PUMP 4 DID NOT RETRACT [PMP4], [1.20]",Medium,Value,ns=1;s=[ARTNS]FAULT_1.20,Boolean,"PUMP 4 DID NOT RETRACT [PMP4], [1.20]",Fault 1.20,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.21,"LEAK DETECTED IN CABINET [LK01], [1.21]",High,Value,ns=1;s=[ARTNS]FAULT_1.21,Boolean,"LEAK DETECTED IN CABINET [LK01], [1.21]",Fault 1.21,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.22,"LEAK DETECTED IN CABINET [LK02], [1.22]",High,Value,ns=1;s=[ARTNS]FAULT_1.22,Boolean,"LEAK DETECTED IN CABINET [LK02], [1.22]",Fault 1.22,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.23,"SAFETY INPUT CARD 1 FAULTED [SI1], [1.23]",High,Value,ns=1;s=[ARTNS]FAULT_1.23,Boolean,"SAFETY INPUT CARD 1 FAULTED [SI1], [1.23]",Fault 1.23,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.24,"SAFETY INPUT CARD 2 FAULTED [SI2], [1.24]",High,Value,ns=1;s=[ARTNS]FAULT_1.24,Boolean,"SAFETY INPUT CARD 2 FAULTED [SI2], [1.24]",Fault 1.24,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.25,"SAFETY INPUT CARD 3 FAULTED [SI3], [1.25]",High,Value,ns=1;s=[ARTNS]FAULT_1.25,Boolean,"SAFETY INPUT CARD 3 FAULTED [SI3], [1.25]",Fault 1.25,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.26,"SAFETY INPUT CARD 4 FAULTED [SI4], [1.26]",High,Value,ns=1;s=[ARTNS]FAULT_1.26,Boolean,"SAFETY INPUT CARD 4 FAULTED [SI4], [1.26]",Fault 1.26,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.27,"SAFETY OUTPUT CARD 1 FAULTED [S01], [1.27]",High,Value,ns=1;s=[ARTNS]FAULT_1.27,Boolean,"SAFETY OUTPUT CARD 1 FAULTED [S01], [1.27]",Fault 1.27,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.28,"SAFETY CARDS NOT HEALTY, [1.28]",High,Value,ns=1;s=[ARTNS]FAULT_1.28,Boolean,"SAFETY CARDS NOT HEALTY, [1.28]",Fault 1.28,,,AtomicTag,Ignition OPC UA Server,,
opc,Edge Historian,1,Alarm 1.29,"DIGITAL INPUT CARD 1 FAULTED [DI1], [1.29]",High,Value,ns=1;s=[ARTNS]FAULT_1.29,Boolean,"DIGITAL INPUT CARD 1 FAULTED [DI1], [1.29]",Fault 1.29,,,AtomicTag,Ignition OPC UA Server,,
